,IP.NSRCGEN:BIASDISCAQNV,IP.NSRCGEN:BIASDISCAQNV,IP.NSRCGEN:BIASDISCAQNV,IP.NSRCGEN:GASAQN,IP.NSRCGEN:GASAQN,IP.NSRCGEN:GASAQN,IP.NSRCGEN:OVEN1AQNP,IP.NSRCGEN:OVEN1AQNP,IP.NSRCGEN:OVEN1AQNP,IP.SAIREM2:FORWARDPOWER,IP.SAIREM2:FORWARDPOWER,IP.SAIREM2:FORWARDPOWER,IP.SOLINJ.ACQUISITION:CURRENT,IP.SOLINJ.ACQUISITION:CURRENT,IP.SOLINJ.ACQUISITION:CURRENT,IP.SOLCEN.ACQUISITION:CURRENT,IP.SOLCEN.ACQUISITION:CURRENT,IP.SOLCEN.ACQUISITION:CURRENT,IP.SOLEXT.ACQUISITION:CURRENT,IP.SOLEXT.ACQUISITION:CURRENT,IP.SOLEXT.ACQUISITION:CURRENT,IP.NSRCGEN:SOURCEHTAQNI,IP.NSRCGEN:SOURCEHTAQNI,IP.NSRCGEN:SOURCEHTAQNI,ITF.BCT25:CURRENT,ITF.BCT25:CURRENT,ITF.BCT25:CURRENT,DENSITY,DURATION,num_breakdowns
,50%,std,avg_dev,50%,std,avg_dev,50%,std,avg_dev,50%,std,avg_dev,50%,std,avg_dev,50%,std,avg_dev,50%,std,avg_dev,50%,std,avg_dev,50%,std,avg_dev,percentage,in_hours,per_hour
optigrid_cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,-239,0.924,0.721,9.898,0.016,0.013,9.072,1.562,1.159,1597.111,75.821,55.962,1274.82,1.107,0.572,230.02,0.853,0.29,1205.51,2.194,1.804,1.669,0.128,0.095,0.028,0.003,0.002,4.555,163.08,0.491
51,-239,0.439,0.245,9.888,0.017,0.012,7.688,1.09,0.813,1818.5,22.635,17.195,1249.49,3.091,1.636,205.02,1.747,1.054,1249.49,0.537,0.463,1.643,0.143,0.12,0.03,0.003,0.002,4.036,144.5,0.464
60,-237,12.039,8.825,9.909,0.004,0.003,18.48,0.802,0.68,1009.25,63.746,50.789,1189.85,20.597,17.917,290.01,12.037,8.58,1259.45,3.94,3.051,1.678,0.189,0.142,0.034,0.004,0.003,2.898,103.752,0.202
47,-276,7.155,5.663,9.918,0.008,0.006,6.19,3.79,2.967,1884.222,92.882,66.975,1229.83,8.068,5.088,230.01,5.384,4.017,1249.49,0.556,0.496,1.97,0.066,0.044,0.03,0.003,0.001,2.819,100.914,0.168
25,-230,5.248,2.695,9.868,0.006,0.002,7.462,0.329,0.244,1570.8,66.843,29.03,1254.82,5.705,3.223,240.02,3.747,2.085,1194.8,3.803,2.088,1.663,0.129,0.096,0.026,0.003,0.001,2.767,99.064,1.03
48,-248,0.616,0.403,9.848,0.035,0.024,11.104,3.534,3.11,1857,163.011,117.445,1209.88,16.621,13.772,230.01,9.199,7.214,1249.49,3.903,2.956,1.657,0.195,0.176,0.029,0.003,0.002,2.661,95.275,0.462
52,-239,0.546,0.465,9.857,0.031,0.026,7.68,1.369,1.209,1848.1,50.813,39.484,1229.79,8.847,6.471,220.01,0.556,0.123,1249.49,1.221,0.536,1.887,0.112,0.099,0.027,0.004,0.003,2.563,91.744,0.36
49,-248,0.238,0.072,9.878,0.001,0.001,5.208,0.611,0.133,1934.556,13.249,10.45,1239.83,2.635,0.664,220.01,0.589,0.068,1249.49,0.586,0.555,1.695,0.031,0.024,0.032,0.002,0.001,2.492,89.204,0.179
