,IP.NSRCGEN:BIASDISCAQNV,IP.NSRCGEN:BIASDISCAQNV,IP.NSRCGEN:GASAQN,IP.NSRCGEN:GASAQN,IP.NSRCGEN:OVEN1AQNP,IP.NSRCGEN:OVEN1AQNP,IP.SAIREM2:FORWARDPOWER,IP.SAIREM2:FORWARDPOWER,IP.SOLINJ.ACQUISITION:CURRENT,IP.SOLINJ.ACQUISITION:CURRENT,IP.SOLCEN.ACQUISITION:CURRENT,IP.SOLCEN.ACQUISITION:CURRENT,IP.SOLEXT.ACQUISITION:CURRENT,IP.SOLEXT.ACQUISITION:CURRENT,IP.NSRCGEN:SOURCEHTAQNI,IP.NSRCGEN:SOURCEHTAQNI,ITF.BCT25:CURRENT,ITF.BCT25:CURRENT,DENSITY,DURATION,num_breakdowns
,50%,std,50%,std,50%,std,50%,std,50%,std,50%,std,50%,std,50%,std,50%,std,percentage,in_hours,per_hour
optigrid_cluster,,,,,,,,,,,,,,,,,,,,,
145,-248.0,0.3,9.88,0.006,5.2,0.11,1934.0,16.7,1240.0,2.7,220.0,0.0,1249.0,0.6,1.69,0.032,0.032,0.002,2.5,90.4,0.27
86,-231.0,0.6,9.87,0.001,7.5,0.23,1571.0,4.5,1255.0,0.5,240.0,0.0,1194.0,0.5,1.66,0.104,0.026,0.003,2.5,89.8,0.7
185,-276.0,1.1,9.92,0.0,5.9,0.26,1887.0,13.8,1230.0,0.6,230.0,0.0,1249.0,0.6,1.97,0.028,0.03,0.003,2.3,81.7,0.15
67,-239.0,0.4,9.9,0.0,7.6,0.18,1590.0,33.7,1265.0,0.5,230.0,0.0,1190.0,0.5,1.7,0.036,0.029,0.002,2.2,77.9,1.01
180,-257.0,2.9,9.85,0.002,6.2,0.15,1605.0,5.3,1180.0,2.8,240.0,0.0,1259.0,0.5,1.52,0.016,0.031,0.002,2.1,73.5,0.19
35,-281.0,0.5,9.9,0.001,7.4,0.34,1753.0,14.9,1275.0,0.6,225.0,0.0,1210.0,0.7,1.86,0.037,0.032,0.002,1.8,65.5,0.53
106,-257.0,0.5,9.89,0.001,13.6,0.04,1684.0,24.2,1270.0,0.5,210.0,0.0,1249.0,0.5,1.87,0.037,0.029,0.003,1.8,65.1,0.06
51,-240.0,5.5,9.87,0.009,10.3,1.06,1604.0,73.8,1275.0,4.7,230.0,0.1,1204.0,5.0,1.55,0.114,0.026,0.002,1.6,58.3,1.49
68,-239.0,0.5,9.9,0.001,9.4,0.58,1599.0,42.6,1275.0,0.5,230.0,0.0,1204.0,0.6,1.66,0.078,0.028,0.001,1.4,51.6,0.35
188,-249.0,0.7,9.88,0.003,5.5,0.15,1581.0,35.1,1235.0,0.7,255.0,0.1,1200.0,0.5,1.66,0.037,0.031,0.002,1.4,48.9,1.06
192,-238.0,0.8,9.89,0.001,18.9,0.04,1009.0,1.7,1190.0,1.5,290.0,0.1,1259.0,0.5,1.63,0.051,0.032,0.001,1.3,45.2,0.27
15,-248.0,1.4,9.66,0.008,0.0,0.0,1594.0,30.7,1245.0,0.6,240.0,0.0,1190.0,0.5,1.82,0.054,0.03,0.002,1.2,44.5,1.03
75,-227.0,0.9,9.94,0.001,5.8,0.12,1759.0,14.6,1274.0,0.6,230.0,0.0,1204.0,0.6,1.87,0.078,0.029,0.003,1.2,43.4,0.37
50,-251.0,2.0,9.94,0.003,6.6,0.4,1680.0,11.9,1275.0,0.5,220.0,0.1,1209.0,3.0,1.88,0.167,0.031,0.004,1.2,41.3,0.65
22,-239.0,0.6,9.88,0.0,0.0,0.0,1590.0,31.9,1245.0,0.5,245.0,0.0,1200.0,0.5,1.94,0.097,0.031,0.002,1.1,39.9,1.7
26,-299.0,11.5,9.5,0.016,14.8,0.68,1707.0,41.9,1265.0,8.2,225.0,2.2,1210.0,2.7,2.02,0.1,0.026,0.003,1.1,37.9,0.47
10,-315.0,0.0,9.68,0.001,18.2,0.12,-1.0,0.0,1270.0,0.5,250.0,0.0,1169.0,0.6,2.07,0.024,0.031,0.003,1.0,37.2,0.11
111,-239.0,0.2,9.89,0.001,7.1,0.18,1825.0,16.4,1250.0,0.5,205.0,0.0,1249.0,0.5,1.56,0.027,0.029,0.002,1.0,37.2,0.97
189,-258.0,0.3,9.89,0.048,5.5,0.26,1838.0,12.8,1255.0,0.9,250.0,0.0,1189.0,0.7,1.7,0.087,0.026,0.002,0.9,33.9,0.5
196,-237.0,0.7,9.91,0.001,19.0,0.06,1010.0,3.9,1189.0,0.7,290.0,0.0,1259.0,0.6,1.71,0.064,0.035,0.002,0.9,33.7,0.12
174,-239.0,0.8,9.87,0.004,7.7,0.39,1857.0,21.6,1230.0,7.0,230.0,0.0,1249.0,0.6,1.61,0.022,0.031,0.002,0.9,33.4,0.33
152,-239.0,0.4,9.82,0.002,9.0,0.62,1829.0,17.3,1230.0,6.8,220.0,0.0,1249.0,0.5,1.83,0.085,0.025,0.002,0.9,31.9,0.22
173,-258.0,1.2,9.85,0.013,14.3,0.94,1808.0,52.4,1229.0,22.3,230.0,0.0,1249.0,0.6,1.89,0.113,0.029,0.004,0.9,31.6,0.32
30,-300.0,5.0,9.87,0.046,7.1,5.6,1712.0,39.5,1275.0,0.5,225.0,0.2,1209.0,6.3,1.82,0.189,0.025,0.003,0.9,31.5,0.32
13,-288.0,12.6,9.84,0.022,6.6,1.26,-1.0,29.3,1270.0,7.2,233.0,1.5,1186.0,1.4,2.2,0.135,0.031,0.005,0.9,30.8,1.14
149,-262.0,0.5,9.83,0.001,12.0,0.17,1797.0,16.7,1210.0,0.5,220.0,0.0,1249.0,0.5,1.82,0.05,0.03,0.001,0.8,30.3,0.46
9,-315.0,0.0,9.65,0.004,17.3,0.29,-1.0,0.0,1270.0,0.5,250.0,0.0,1170.0,0.6,2.02,0.043,0.031,0.003,0.8,28.9,0.21
179,-276.0,0.5,9.84,0.004,5.9,0.09,1507.0,3.2,1180.0,0.5,240.0,0.0,1259.0,0.5,1.54,0.018,0.032,0.001,0.8,28.4,0.11
78,-221.0,0.5,9.94,0.001,7.7,0.15,1593.0,40.7,1275.0,0.6,230.0,0.1,1210.0,0.6,1.7,0.032,0.031,0.004,0.8,27.3,1.39
163,-248.0,4.5,9.83,0.004,11.1,0.42,1837.0,29.1,1200.0,6.8,225.0,0.0,1249.0,2.1,1.86,0.063,0.029,0.002,0.8,27.1,0.18
94,-271.0,5.6,9.82,0.004,14.0,0.24,1406.0,46.6,1195.0,2.6,225.0,0.5,1259.0,0.5,1.58,0.022,0.032,0.002,0.7,25.9,0.35
160,-238.0,2.0,9.8,0.001,13.6,0.28,1937.0,19.4,1209.0,0.6,220.0,0.0,1259.0,0.6,1.54,0.083,0.033,0.002,0.7,25.7,0.27
44,-280.0,0.4,9.85,0.004,16.1,0.44,1706.0,13.6,1275.0,0.5,230.0,0.0,1209.0,0.6,1.85,0.123,0.027,0.002,0.7,25.0,0.36
21,-248.0,2.2,9.88,0.001,0.0,0.0,1589.0,36.6,1245.0,0.6,245.0,0.0,1200.0,0.5,1.85,0.096,0.03,0.002,0.7,24.4,1.35
140,-258.0,1.4,9.85,0.003,6.5,0.2,1845.0,9.1,1190.0,3.4,220.0,0.0,1249.0,0.6,1.78,0.023,0.025,0.002,0.7,24.0,0.46
151,-248.0,0.3,9.85,0.008,13.7,0.65,1895.0,29.1,1219.0,4.3,220.0,0.0,1249.0,1.1,1.86,0.078,0.026,0.002,0.7,23.6,0.25
29,-281.0,13.4,9.77,0.007,16.7,3.05,1670.0,33.2,1275.0,20.2,240.0,4.0,1199.0,4.6,1.65,0.159,0.026,0.003,0.7,23.5,0.76
49,-251.0,2.9,9.91,0.003,7.2,0.3,1723.0,18.9,1275.0,0.6,220.0,0.0,1200.0,3.5,1.85,0.155,0.029,0.004,0.7,23.4,0.47
158,-239.0,6.2,9.79,0.002,15.5,0.13,1945.0,25.5,1210.0,0.8,220.0,0.0,1259.0,0.6,1.52,0.099,0.034,0.003,0.6,22.5,0.22
129,-267.0,4.2,9.74,0.013,12.6,0.13,1996.0,19.4,1220.0,2.1,220.0,0.3,1251.0,4.7,1.5,0.102,0.031,0.003,0.6,22.4,0.13
34,-281.0,0.6,9.85,0.011,10.6,1.15,1712.0,20.4,1275.0,0.4,225.0,0.0,1205.0,1.9,1.79,0.065,0.026,0.002,0.6,22.4,0.98
19,-262.0,1.3,9.92,0.0,0.0,0.0,1582.0,33.8,1235.0,0.7,235.0,0.1,1200.0,2.3,1.86,0.04,0.028,0.001,0.6,21.9,1.37
91,-258.0,0.4,9.92,0.003,18.8,0.11,1612.0,32.3,1275.0,0.4,230.0,0.1,1180.0,0.5,1.8,0.085,0.028,0.002,0.6,21.7,0.6
76,-230.0,1.1,9.94,0.001,9.1,0.1,1602.0,42.1,1265.0,0.7,230.0,0.1,1190.0,4.4,1.75,0.108,0.029,0.002,0.6,21.4,0.84
172,-248.0,0.5,9.86,0.001,7.7,0.11,1858.0,11.6,1230.0,0.9,230.0,0.0,1249.0,0.6,1.54,0.018,0.03,0.002,0.6,20.8,0.29
2,-270.0,39.4,9.74,0.063,8.7,1.42,-1.0,0.0,1269.0,12.7,233.0,5.6,1179.0,0.7,1.86,0.09,0.025,0.002,0.6,20.4,0.2
193,-238.0,11.5,9.91,0.003,16.9,0.14,1010.0,2.0,1190.0,0.5,290.0,0.0,1259.0,0.5,1.58,0.065,0.034,0.002,0.6,20.3,0.0
79,-221.0,0.5,9.95,0.0,7.4,0.03,1572.0,34.0,1274.0,0.6,230.0,0.0,1210.0,0.6,1.75,0.069,0.03,0.003,0.6,20.0,0.7
122,-239.0,0.7,9.84,0.026,10.3,1.58,1777.0,24.5,1245.0,5.9,210.0,0.0,1249.0,0.5,1.94,0.083,0.025,0.004,0.6,19.9,0.3
109,-239.0,0.2,9.88,0.015,8.3,1.01,1812.0,15.0,1250.0,6.3,205.0,1.5,1249.0,0.6,1.75,0.123,0.031,0.003,0.6,19.9,0.6
197,-229.0,5.3,9.92,0.002,18.4,0.38,912.0,30.5,1240.0,3.0,300.0,3.6,1249.0,0.6,1.99,0.118,0.032,0.002,0.5,19.7,0.36
148,-258.0,1.3,9.8,0.001,13.1,0.3,1973.0,40.9,1210.0,2.4,220.0,0.0,1259.0,2.4,1.64,0.107,0.032,0.003,0.5,19.6,0.15
42,-280.0,0.2,9.85,0.0,11.5,0.4,1712.0,13.2,1275.0,0.5,230.0,0.0,1204.0,0.6,1.8,0.03,0.026,0.002,0.5,19.3,0.57
65,-251.0,0.5,9.92,0.004,8.2,2.76,1721.0,24.6,1275.0,0.6,230.0,0.0,1199.0,2.4,2.16,0.152,0.03,0.004,0.5,19.0,0.58
155,-239.0,0.6,9.86,0.002,7.7,0.17,1858.0,11.9,1220.0,1.6,220.0,0.0,1249.0,0.6,1.99,0.028,0.027,0.003,0.5,19.0,0.11
125,-294.0,19.8,9.8,0.03,9.7,2.03,1960.0,153.5,1175.0,11.8,230.0,0.1,1259.0,3.1,1.84,0.089,0.027,0.003,0.5,18.8,0.32
27,-221.0,5.2,9.91,0.073,7.2,1.22,1321.0,213.0,1275.0,1.8,210.0,1.9,1214.0,2.8,1.89,0.167,0.027,0.003,0.5,18.6,5.38
184,-294.0,15.5,9.81,0.009,12.5,1.04,1807.0,60.3,1170.0,12.4,240.0,0.0,1259.0,0.7,1.84,0.097,0.029,0.003,0.5,18.5,0.22
46,-280.0,0.5,9.86,0.003,17.2,0.32,1699.0,15.0,1275.0,0.5,230.0,0.0,1210.0,1.2,1.91,0.14,0.027,0.003,0.5,18.2,0.44
61,-248.0,0.4,9.92,0.003,10.1,0.26,1609.0,42.5,1245.0,2.6,230.0,0.0,1190.0,1.4,1.91,0.074,0.03,0.002,0.5,18.2,1.32
